Text Passage,Image ROI
3.27.13,"urn:cite2:fufolio:camerarius1668.2020a:03_00055@0.1101,0.8338,0.3658,0.04421"
3.27.14,"urn:cite2:fufolio:camerarius1668.2020a:03_00055@0.4518,0.8299,0.4476,0.04421"
3.22.0,"urn:cite2:fufolio:camerarius1668.2020a:03_00044@0.1027,0.1361,0.8784,0.07062"
3.22.1,"urn:cite2:fufolio:camerarius1668.2020a:03_00045@0.001048,0.1755,0.8847,0.08462"
3.22.2,"urn:cite2:fufolio:camerarius1668.2020a:03_00045@0.001048,0.2270,0.8847,0.09548"
3.22.3,"urn:cite2:fufolio:camerarius1668.2020a:03_00045@0.001048,0.2870,0.8847,0.1235"
3.22.4,"urn:cite2:fufolio:camerarius1668.2020a:03_00045@0.001048,0.3739,0.8847,0.09663"
3.22.5,"urn:cite2:fufolio:camerarius1668.2020a:03_00045@0.001048,0.4597,0.8847,0.07318"
3.22.6,"urn:cite2:fufolio:camerarius1668.2020a:03_00045@0.001048,0.5009,0.8847,0.09949"
3.22.7,"urn:cite2:fufolio:camerarius1668.2020a:03_00045@0.001048,0.5666,0.8847,0.09777"
3.22.8,"urn:cite2:fufolio:camerarius1668.2020a:03_00045@0.001048,0.6284,0.8847,0.1046"
3.22.9,"urn:cite2:fufolio:camerarius1668.2020a:03_00045@0.001048,0.6872,0.8847,0.1103"
3.22.10,"urn:cite2:fufolio:camerarius1668.2020a:03_00045@0.001048,0.7810,0.8847,0.06061"
3.22.11,"urn:cite2:fufolio:camerarius1668.2020a:03_00045@0.1090,0.8176,0.7453,0.04860"
3.63.0,"urn:cite2:fufolio:camerarius1668.2020a:03_00127@0.000,0.1259,0.9361,0.2093"
3.63.1,"urn:cite2:fufolio:camerarius1668.2020a:03_00127@0.001048,0.1331,0.9119,0.07454"
3.63.2,"urn:cite2:fufolio:camerarius1668.2020a:03_00127@0.001048,0.1800,0.9119,0.09663"
3.63.3,"urn:cite2:fufolio:camerarius1668.2020a:03_00127@0.001048,0.2479,0.9119,0.08448"
3.63.4,"urn:cite2:fufolio:camerarius1668.2020a:03_00127@0.001048,0.3247,0.9119,0.03644"
3.63.5,"urn:cite2:fufolio:camerarius1668.2020a:03_00127@0.001048,0.3473,0.9130,0.03092"
3.63.6,"urn:cite2:fufolio:camerarius1668.2020a:03_00127@0.001048,0.3689,0.9130,0.03092"
3.63.7,"urn:cite2:fufolio:camerarius1668.2020a:03_00127@0.001048,0.3893,0.9130,0.03092"
3.63.8,"urn:cite2:fufolio:camerarius1668.2020a:03_00127@0.001048,0.4103,0.9130,0.03092"
